year,month,CarGroup,prenotazioni,revenue_tot,revenue_media
2025.0,9.0,SMALL,244,46048.7,188.72418032786885
2025.0,9.0,STATION,32,9938.75,310.5859375
2025.0,9.0,SUV,128,50456.96,394.195
2025.0,9.0,VAN,109,53270.52,488.72036697247705
2025.0,10.0,CABRIOLET,21,4064.58,193.55142857142857
2025.0,10.0,ECONOMY,189,31642.57,167.4210052910053
2025.0,10.0,FURGONE,191,45627.98,238.88994764397907
2025.0,10.0,LARGE,312,69468.1,222.6541666666667
2025.0,10.0,MINI,119,16649.82,139.9144537815126
2025.0,10.0,N/D,15,3275.16,218.344
2025.0,10.0,PREMIUM,6,1202.73,200.455
2025.0,10.0,SMALL,130,19831.54,152.5503076923077
2025.0,10.0,STATION,14,1252.34,89.45285714285714
2025.0,10.0,SUV,89,25539.399999999998,286.95955056179776
2025.0,10.0,VAN,75,25063.3,334.1773333333333
2025.0,11.0,CABRIOLET,2,0.0,0.0
2025.0,11.0,ECONOMY,84,9824.44,116.95761904761905
2025.0,11.0,FURGONE,151,19640.55,130.06986754966886
2025.0,11.0,LARGE,134,18750.1,139.92611940298505
2025.0,11.0,MINI,47,3138.42,66.77489361702128
2025.0,11.0,N/D,4,1240.91,310.2275
2025.0,11.0,SMALL,55,4495.64,81.7389090909091
2025.0,11.0,STATION,4,708.19,177.0475
2025.0,11.0,SUV,31,4520.6,145.82580645161292
2025.0,11.0,VAN,41,6178.75,150.7012195121951
